name,ttl,type,value
"ineazy.in","3600","NETLIFY","ineazy.netlify.app"
"www.ineazy.in","3600","NETLIFY","ineazy.netlify.app"
"ineazy.in","3600","TXT","google-site-verification=Wjtk0HCemajBIc0lRpPFiNLb_ZsYpwaWIfwxHiONuHM"
"_dmarc.ineazy.in","3600","TXT","v=DMARC1; p=none; rua=mailto:youremail@yourdomain.com"
"ineazy.in","3600","MX","smtp.google.com"
"ineazy.in","3600","MX","ASPMX.L.GOOGLE.COM."
"ineazy.in","3600","MX","ALT1.ASPMX.L.GOOGLE.COM."
"ineazy.in","3600","MX","ALT2.ASPMX.L.GOOGLE.COM."
"ineazy.in","3600","MX","ALT3.ASPMX.L.GOOGLE.COM."
"ineazy.in","3600","MX","ALT4.ASPMX.L.GOOGLE.COM."
"ineazy.in","3600","TXT","zoho-verification=zb68791042.zmverify.zoho.in"
"zmail._domainkey.ineazy.in","3600","TXT","v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDNxA2QI2P00WgB6v283B1HHmFK8gF+qIlbETqcsEjXO9xD79wgjksbTFu7QPpk9hjSZauW9w98F7QNGTnwiW+lvHTY6vrlyuK5hlbICMlsvVrZryzQZ3XSoFML0nrRHzj6PK/sFNn6nBTFjBqSwmeTHUGfwU+6IYcSt9EqhlEaJQIDAQAB"
"ineazy.in","3600","TXT","v=spf1 include:_spf.google.com include:one.zoho.in ~all"
